,Date,Open,High,Low,Close
0,2022-03-04,1449.4961,1505.5234,1431.5632,1420.9125
1,2022-03-05,1447.6671,1507.4552,1434.5483,1418.3218
2,2022-03-06,1446.6255,1507.8694,1435.8184,1415.1138
3,2022-03-07,1443.182,1504.8931,1437.9149,1413.9392
4,2022-03-08,1448.1771,1506.6146,1440.7819,1415.1989
5,2022-03-09,1448.2096,1506.513,1446.6327,1419.306
6,2022-03-10,1449.8265,1509.9692,1452.3163,1422.6055
7,2022-03-11,1446.2758,1509.4376,1455.55,1425.1753
8,2022-03-12,1446.0707,1508.4847,1457.4484,1429.2059
9,2022-03-13,1453.9008,1508.0654,1458.9342,1435.8679
10,2022-03-14,1454.1072,1500.2325,1454.7208,1439.6423
11,2022-03-15,1454.8578,1493.7242,1452.8254,1446.2235
12,2022-03-16,1462.9523,1491.6536,1454.5795,1454.5458
13,2022-03-17,1475.9456,1494.1869,1457.6389,1464.7632
14,2022-03-18,1493.1442,1502.1946,1464.1561,1478.88
15,2022-03-19,1511.4429,1513.4646,1472.495,1493.7559
16,2022-03-20,1530.1677,1526.5803,1481.3889,1505.3386
17,2022-03-21,1547.5366,1535.5892,1486.4912,1510.9033
18,2022-03-22,1550.0059,1532.0173,1486.3007,1511.4829
19,2022-03-23,1543.2112,1525.8021,1484.7605,1507.7977
20,2022-03-24,1541.908,1523.5051,1485.5931,1505.1014
21,2022-03-25,1539.1049,1520.3989,1487.4855,1504.4427
22,2022-03-26,1537.5858,1519.0518,1490.9908,1504.8655
23,2022-03-27,1537.775,1518.6078,1491.0743,1500.6224
24,2022-03-28,1541.7184,1515.0343,1488.3026,1493.0867
25,2022-03-29,1531.81,1503.2078,1486.0397,1485.8041
26,2022-03-30,1522.4047,1495.824,1485.462,1477.9078
27,2022-03-31,1513.1879,1492.369,1485.7576,1471.3174
28,2022-04-01,1507.3845,1492.0906,1485.9799,1466.4543
29,2022-04-02,1503.8818,1494.9695,1485.9092,1463.1343
30,2022-04-03,1497.7916,1497.807,1482.6636,1462.1438
31,2022-04-04,1497.9325,1503.4318,1482.4636,1465.9015
32,2022-04-05,1506.9248,1509.3934,1489.0387,1475.458
33,2022-04-06,1513.5276,1514.2754,1496.4364,1483.7843
34,2022-04-07,1516.203,1520.8105,1499.6139,1488.045
35,2022-04-08,1525.7006,1530.2024,1503.4064,1494.6674
36,2022-04-09,1537.8322,1537.0759,1510.5092,1505.8702
37,2022-04-10,1544.2998,1541.3761,1515.6556,1514.9408
38,2022-04-11,1557.0723,1551.653,1518.4768,1517.6465
39,2022-04-12,1561.9147,1552.7836,1519.0483,1519.9521
40,2022-04-13,1558.8773,1549.598,1516.6167,1515.7245
41,2022-04-14,1548.4469,1541.4652,1513.465,1510.2433
42,2022-04-15,1539.1234,1534.5292,1509.7753,1502.3315
43,2022-04-16,1529.5226,1523.657,1507.8522,1499.002
44,2022-04-17,1521.6313,1512.5787,1508.1792,1497.1221
45,2022-04-18,1513.6063,1501.9459,1509.3888,1494.845
46,2022-04-19,1507.1141,1493.751,1510.6792,1492.8881
47,2022-04-20,1503.5471,1488.9973,1511.3331,1490.3416
48,2022-04-21,1492.776,1485.4432,1509.7502,1484.3405
49,2022-04-22,1491.3486,1488.9148,1507.2377,1477.8558
50,2022-04-23,1488.7789,1490.3888,1509.7789,1481.8925
51,2022-04-24,1497.023,1499.3074,1516.5182,1487.6138
52,2022-04-25,1503.4644,1507.1503,1523.2537,1493.177
53,2022-04-26,1516.7087,1518.5088,1529.177,1497.5704
54,2022-04-27,1518.7585,1526.1877,1534.8248,1503.6461
55,2022-04-28,1521.9913,1538.792,1539.2262,1509.8635
56,2022-04-29,1530.0187,1549.6707,1543.3564,1521.9121
57,2022-04-30,1540.039,1559.6165,1544.9208,1533.9696
58,2022-05-01,1552.72,1566.8638,1542.5071,1543.0123
59,2022-05-02,1555.8923,1564.8441,1534.044,1542.5344
